number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9077457136301889,,0.715459201105583,0.2597737391439428,8.0,,,xgboost,16.0,0.5323275070460112,COMPLETE,0 days 00:00:16.997716
1,0.9091606977040091,,0.619587644357616,0.29762912886928455,6.0,,,lightgbm,28.0,0.8488898712016959,COMPLETE,0 days 00:00:14.134622
2,0.9079971033105968,,0.6427195289809329,0.20478326371603925,9.0,,,xgboost,18.0,0.9198070220922637,COMPLETE,0 days 00:00:16.592889
3,0.9031739726635571,,,,8.0,2.0,7.0,random_forest,24.0,,COMPLETE,0 days 00:00:14.345961
4,0.8997802741736888,,,,5.0,2.0,8.0,random_forest,29.0,,COMPLETE,0 days 00:00:15.296064
5,0.9048112820420524,,0.6820983454980267,0.19939225172585576,5.0,,,lightgbm,5.0,0.7266695122086007,COMPLETE,0 days 00:00:15.028051
6,0.9051602978491692,,0.5358635854126488,0.11021366576669446,5.0,,,xgboost,23.0,0.5849756312755167,COMPLETE,0 days 00:00:14.853055
7,0.8940390248677993,,,,6.0,1.0,10.0,random_forest,20.0,,COMPLETE,0 days 00:00:13.730359
8,0.9040203752957483,,,,7.0,2.0,6.0,random_forest,30.0,,COMPLETE,0 days 00:00:14.046828
9,0.9088247592229856,,0.513718680255927,0.08746255845916179,9.0,,,lightgbm,20.0,0.8038775547057334,COMPLETE,0 days 00:00:13.760148
10,0.9072451619630323,,0.5378023031067645,0.10761386727507184,7.0,,,xgboost,28.0,0.6584063825579511,COMPLETE,0 days 00:00:16.535407
11,0.9016397744584704,1.5729719047071649,,,,,,svm,,,COMPLETE,0 days 00:00:39.633577
12,0.9024067543833109,,0.9694789257303683,0.049638715389823396,4.0,,,lightgbm,13.0,0.8609365559306266,COMPLETE,0 days 00:00:12.974735
13,0.9025949844405646,0.5003198513694278,,,,,,svm,,,COMPLETE,0 days 00:00:31.037253
14,0.899822189630612,,0.5012357887903472,0.014064852538368394,3.0,,,lightgbm,9.0,0.8113485039543604,COMPLETE,0 days 00:00:12.534198
15,0.9085038678546851,,0.8449336337771853,0.29987918062030183,9.0,,,lightgbm,24.0,0.9789437202769757,COMPLETE,0 days 00:00:13.795092
16,0.9085133519383305,,0.8529981602597582,0.2980436977576817,9.0,,,lightgbm,25.0,0.9957673422625438,COMPLETE,0 days 00:00:14.064144
17,0.9095444336378407,,0.6119415922568162,0.13692838516017886,7.0,,,lightgbm,21.0,0.7945703863620621,COMPLETE,0 days 00:00:13.453290
18,0.9083315143665222,,0.6113983649083307,0.11597347885334451,6.0,,,lightgbm,20.0,0.7701410040292281,COMPLETE,0 days 00:00:12.816054
19,0.9096263761142965,,0.5761408270900918,0.1693207088636832,6.0,,,lightgbm,27.0,0.7225324327284111,COMPLETE,0 days 00:00:14.480013
20,0.9097433071384792,,0.78223459100407,0.17666521377014988,7.0,,,lightgbm,27.0,0.6995658441305312,COMPLETE,0 days 00:00:13.026202
21,0.9013039819821979,2.9305805430993166,,,,,,svm,,,COMPLETE,0 days 00:00:43.070190
22,0.9096362314380609,,0.7732857771894032,0.16418613990055791,7.0,,,lightgbm,26.0,0.6893018481207237,COMPLETE,0 days 00:00:14.196852
23,0.9100510250981421,,0.7936552075066573,0.19591106633374214,7.0,,,lightgbm,26.0,0.6979446301758107,COMPLETE,0 days 00:00:13.697760
24,0.9013128213819358,2.8758471176627647,,,,,,svm,,,COMPLETE,0 days 00:00:43.007985
25,0.9098438641352514,,0.7951491796604089,0.18414385610140577,8.0,,,lightgbm,26.0,0.6564871810975073,COMPLETE,0 days 00:00:13.233959
26,0.9095373754573733,,0.804573217351417,0.21693577868374428,8.0,,,lightgbm,30.0,0.6286673709395288,COMPLETE,0 days 00:00:13.948575
27,0.9094631052947405,,0.876542751729013,0.24144700499229627,8.0,,,lightgbm,22.0,0.6084834158469726,COMPLETE,0 days 00:00:12.482754
28,0.9095423314886885,,0.9161583675559527,0.2437393518966462,8.0,,,lightgbm,22.0,0.6040828310607752,COMPLETE,0 days 00:00:13.874409
29,0.9096292158078093,,0.9146887528414034,0.19124025989290075,7.0,,,lightgbm,26.0,0.6732205296339243,COMPLETE,0 days 00:00:14.103740
30,0.9063321208161529,,0.7529058290521997,0.18430698497384704,7.0,,,xgboost,16.0,0.6927775568886962,COMPLETE,0 days 00:00:14.988215
31,0.906230625492135,,0.752021970625902,0.14721665262330103,7.0,,,xgboost,17.0,0.5428502233388159,COMPLETE,0 days 00:00:15.394132
32,0.9094851549625363,,0.7790089405158553,0.15674879493615101,7.0,,,lightgbm,26.0,0.7081749584223356,COMPLETE,0 days 00:00:13.725725
33,0.9090524645808772,,0.8024488729745899,0.16275604369347554,8.0,,,lightgbm,26.0,0.6969636060644545,COMPLETE,0 days 00:00:13.919229
34,0.9093830186854337,,0.8097956515154188,0.2222920016035459,8.0,,,lightgbm,26.0,0.6525528929755525,COMPLETE,0 days 00:00:13.929713
35,0.9093308151162659,,0.697342453745842,0.21893728490529346,8.0,,,lightgbm,28.0,0.6439913042599688,COMPLETE,0 days 00:00:14.038125
36,0.909577503142541,,0.705049137005584,0.1790185331745359,8.0,,,lightgbm,28.0,0.7374385690474544,COMPLETE,0 days 00:00:13.550093
37,0.9094882723165396,,0.7207785629027148,0.17574283573025334,6.0,,,lightgbm,24.0,0.753722811854126,COMPLETE,0 days 00:00:14.345500
38,0.8853361183281118,,,,6.0,5.0,2.0,random_forest,13.0,,COMPLETE,0 days 00:00:11.798538
