number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.8974229037069464,,,,8.0,5.0,5.0,random_forest,6.0,,COMPLETE,0 days 00:00:24.985838
1,0.9234512850278636,,0.6761038214577928,0.22988087013282732,5.0,,,xgboost,22.0,0.9509796264768693,COMPLETE,0 days 00:00:31.735366
2,0.9189482932941865,0.46849571352294683,,,,,,svm,,,COMPLETE,0 days 00:01:35.530157
3,0.918300692152117,0.9484657698544353,,,,,,svm,,,COMPLETE,0 days 00:01:57.042105
4,0.918269099847601,0.9885729791453126,,,,,,svm,,,COMPLETE,0 days 00:01:57.417298
5,0.924349246299497,,0.9670767436602135,0.2943693349108303,4.0,,,lightgbm,15.0,0.9148993213502703,COMPLETE,0 days 00:00:30.908581
6,0.9118051825193788,,,,7.0,3.0,6.0,random_forest,17.0,,COMPLETE,0 days 00:00:24.867513
7,0.8581953250451865,,0.5913794780114574,0.021944551773594702,6.0,,,xgboost,8.0,0.5599818947213913,COMPLETE,0 days 00:00:27.479103
8,0.9080847717190624,,0.6004187187106564,0.019316180881972067,3.0,,,lightgbm,19.0,0.8516017763499717,COMPLETE,0 days 00:00:26.605815
9,0.9111384010505601,,,,7.0,5.0,4.0,random_forest,24.0,,COMPLETE,0 days 00:00:26.360098
10,0.8931734244058167,,,,3.0,1.0,5.0,random_forest,11.0,,COMPLETE,0 days 00:00:24.172350
11,0.927040914898741,,0.983021715306047,0.29270455942509743,3.0,,,lightgbm,30.0,0.7251728331257182,COMPLETE,0 days 00:00:26.817003
12,0.9271503219639264,,0.9864584851531429,0.28584161474544567,5.0,,,xgboost,30.0,0.9922483828150486,COMPLETE,0 days 00:00:35.216325
13,0.928707790624031,,0.9989319448667894,0.2963428590533321,4.0,,,lightgbm,29.0,0.7033438187084956,COMPLETE,0 days 00:00:28.651258
14,0.9298282606250342,,0.9930632198130435,0.2909858238485982,5.0,,,lightgbm,30.0,0.6974904468123335,COMPLETE,0 days 00:00:28.358333
15,0.9234935357740577,,0.8350736269790013,0.16307769673030112,5.0,,,xgboost,30.0,0.6950771161526295,COMPLETE,0 days 00:00:31.253795
16,0.9264610974034682,,0.8318582752874235,0.17644110251475625,5.0,,,lightgbm,26.0,0.6880207906036481,COMPLETE,0 days 00:00:28.030760
17,0.9254773536741253,,0.8438221519200935,0.2102891986878398,4.0,,,lightgbm,25.0,0.6110708036107112,COMPLETE,0 days 00:00:27.211255
18,0.929246324805664,,0.8676135215023562,0.22866490881381024,9.0,,,lightgbm,27.0,0.5858211049243814,COMPLETE,0 days 00:00:29.433327
19,0.9249027009856864,,0.9029463002923332,0.08563774408309799,9.0,,,lightgbm,27.0,0.8119255466300375,COMPLETE,0 days 00:00:29.921864
20,0.929306592704705,,0.8894676769999043,0.24531272381080943,9.0,,,lightgbm,21.0,0.5161629129783737,COMPLETE,0 days 00:00:28.251203
21,0.9286008202951654,,0.7425638032867934,0.23087810668522454,9.0,,,lightgbm,21.0,0.5231425772157552,COMPLETE,0 days 00:00:28.451716
22,0.9290811848446922,,0.8878882671606001,0.2352330247192876,9.0,,,lightgbm,22.0,0.5053330035119108,COMPLETE,0 days 00:00:27.575436
23,0.9289864230909238,,0.9087434771440809,0.2404171682771284,8.0,,,lightgbm,23.0,0.6001181682701311,COMPLETE,0 days 00:00:28.712540
24,0.9295721742148748,,0.9098577876251844,0.2614371568216226,8.0,,,lightgbm,27.0,0.6173984342632673,COMPLETE,0 days 00:00:30.266969
25,0.9294884957641076,,0.7741050914344612,0.2613186624421342,8.0,,,lightgbm,27.0,0.6351960678943128,COMPLETE,0 days 00:00:29.559128
26,0.9245699699021405,,0.7815484044264529,0.12618905686287635,8.0,,,lightgbm,19.0,0.6426509824784091,COMPLETE,0 days 00:00:27.276086
27,0.9295862984442733,,0.7796453418653353,0.26669970846513574,7.0,,,lightgbm,28.0,0.647404114348684,COMPLETE,0 days 00:00:29.093111
28,0.9293283716036221,,0.5199445061713687,0.26620503077378177,7.0,,,lightgbm,28.0,0.78342008149067,COMPLETE,0 days 00:00:29.929142
29,0.9175998978325858,2.9801567659725716,,,,,,svm,,,COMPLETE,0 days 00:03:03.608595
30,0.9176146753767122,2.8740327735803533,,,,,,svm,,,COMPLETE,0 days 00:03:00.003213
31,0.9072445546894315,,,,6.0,1.0,10.0,random_forest,25.0,,COMPLETE,0 days 00:00:27.695830
32,0.9287021057102286,,0.7687190198477469,0.26732379648936655,6.0,,,lightgbm,25.0,0.6476999541465394,COMPLETE,0 days 00:00:28.953670
33,0.9304554260194227,,0.7361744485997863,0.2644615999557635,8.0,,,lightgbm,28.0,0.6523398900261255,COMPLETE,0 days 00:00:27.920830
34,0.9298387629663729,,0.6954296344871889,0.19847509409525138,8.0,,,lightgbm,28.0,0.6522449322666132,COMPLETE,0 days 00:00:29.178369
35,0.929770410343111,,0.6872842911308579,0.20718405317958166,7.0,,,lightgbm,28.0,0.6743856889360207,COMPLETE,0 days 00:00:27.299474
36,0.9295209768121057,,0.6996951566080641,0.19074231306454248,7.0,,,lightgbm,29.0,0.7463271253388801,COMPLETE,0 days 00:00:29.189053
37,0.9264386479742456,,0.6910750745651435,0.18320050422881828,7.0,,,xgboost,29.0,0.7536346213500129,COMPLETE,0 days 00:00:34.679498
