number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6872927618946858,2.702596881777914,,,,,,svm,,under,,,COMPLETE,0 days 00:00:06.104883
1,0.6852461517587752,,,,9.0,1.0,3.0,random_forest,30.0,under,,,COMPLETE,0 days 00:00:03.384139
2,0.6756035232427475,,,,5.0,4.0,10.0,random_forest,30.0,under,,,COMPLETE,0 days 00:00:02.679523
3,0.6936403748820533,,0.6367309874649764,0.24415777816351603,6.0,,,lightgbm,13.0,smote,4.0,0.8905984373914464,COMPLETE,0 days 00:00:13.949378
4,0.6901189779571743,0.6261044314436438,,,,,,svm,,over,,,COMPLETE,0 days 00:00:10.255424
5,0.6464332227480658,,,,4.0,3.0,4.0,random_forest,7.0,under,,,COMPLETE,0 days 00:00:01.128906
6,0.6833802346628538,,,,6.0,1.0,5.0,random_forest,27.0,over,,,COMPLETE,0 days 00:00:02.166331
7,0.6984857086708306,,0.9029576674595541,0.22733664699568013,6.0,,,lightgbm,23.0,smote,5.0,0.7825681064075634,COMPLETE,0 days 00:00:14.112176
8,0.6896966384226024,0.6405259652014974,,,,,,svm,,under,,,COMPLETE,0 days 00:00:07.535596
9,0.6971047203868158,,0.52337858184379,0.14624899415669476,7.0,,,lightgbm,18.0,under,,0.6893172243026873,COMPLETE,0 days 00:00:01.567910
10,0.6417824968891089,,,,3.0,1.0,2.0,random_forest,9.0,under,,,COMPLETE,0 days 00:00:01.183514
11,0.6934651471039707,,0.5032663340279386,0.07637753261035897,8.0,,,lightgbm,20.0,smote,10.0,0.5514811881979214,COMPLETE,0 days 00:00:14.298554
12,0.69651645228354,,0.9924442810389202,0.13044419604559476,8.0,,,lightgbm,21.0,smote,8.0,0.6565168186091992,COMPLETE,0 days 00:00:14.567201
13,0.6935126873133782,,0.9598421912095656,0.19057700743792655,7.0,,,xgboost,21.0,smote,5.0,0.7227385873800051,COMPLETE,0 days 00:00:15.969034
14,0.6910909600267908,,0.8848392235827187,0.23736487613650903,7.0,,,xgboost,16.0,smote,4.0,0.7980611587625589,COMPLETE,0 days 00:00:14.865297
15,0.6974187609778397,,0.7971608445486953,0.27503804355577943,7.0,,,lightgbm,16.0,smote,3.0,0.8513184282701041,COMPLETE,0 days 00:00:14.096703
16,0.6963881958403121,,0.7865908050418013,0.2987432122983331,5.0,,,lightgbm,24.0,over,,0.8220454324381762,COMPLETE,0 days 00:00:01.698113
17,0.6954590397322216,,0.7197552404058613,0.14272216821269273,7.0,,,lightgbm,15.0,smote,7.0,0.9733737025716653,COMPLETE,0 days 00:00:14.320264
18,0.6925612147162458,,0.8102622734619847,0.2989986557616697,5.0,,,lightgbm,13.0,smote,3.0,0.9927771058968899,COMPLETE,0 days 00:00:13.823215
19,0.6974577920223656,,0.8582010870900716,0.2747274803704583,5.0,,,lightgbm,25.0,smote,3.0,0.8975007236309104,COMPLETE,0 days 00:00:14.083501
20,0.6999920175786393,,0.8786483823866494,0.22735815641379492,9.0,,,lightgbm,25.0,smote,6.0,0.8697837156716932,COMPLETE,0 days 00:00:13.722819
21,0.6852141821921972,,0.9006854978164149,0.20615777869612245,4.0,,,xgboost,25.0,smote,6.0,0.9092962839870778,COMPLETE,0 days 00:00:14.722265
22,0.696276830236585,,0.886743003155559,0.20935264311260188,4.0,,,lightgbm,25.0,smote,6.0,0.9037009097417749,COMPLETE,0 days 00:00:13.326243
23,0.6994888739465287,,0.8930376408543741,0.2268386189530589,9.0,,,lightgbm,25.0,smote,6.0,0.7888638271455413,COMPLETE,0 days 00:00:14.784417
24,0.6985821843051688,,0.8569275277366372,0.24749320035457908,6.0,,,lightgbm,23.0,smote,5.0,0.8114964390305837,COMPLETE,0 days 00:00:13.820416
25,0.7004312513655188,,0.9399732901925696,0.18001565089006016,9.0,,,lightgbm,28.0,smote,7.0,0.771723763484838,COMPLETE,0 days 00:00:14.850859
26,0.7013698851257394,,0.9475597580097636,0.17341704300318528,9.0,,,lightgbm,28.0,smote,7.0,0.7493801048083563,COMPLETE,0 days 00:00:14.997599
27,0.6992692467928846,,0.9420989469211778,0.17711996948568715,9.0,,,lightgbm,28.0,over,,0.7390958711927651,COMPLETE,0 days 00:00:01.986680
28,0.6859567856366362,,0.7105503157913635,0.012675678555072761,9.0,,,lightgbm,28.0,smote,8.0,0.6837843114590063,COMPLETE,0 days 00:00:14.529592
29,0.6909560116977668,,0.9973390901027475,0.0992401897739042,8.0,,,xgboost,28.0,smote,8.0,0.6261675396839914,COMPLETE,0 days 00:00:17.378440
30,0.6861033540837194,2.8096201245055226,,,,,,svm,,smote,8.0,,COMPLETE,0 days 00:00:29.680955
31,0.6880886396363143,2.774063150067181,,,,,,svm,,over,,,COMPLETE,0 days 00:00:12.865645
32,0.6996749303521428,,0.9379398337017432,0.17610686718527396,9.0,,,lightgbm,27.0,smote,7.0,0.7553198819534467,COMPLETE,0 days 00:00:14.881079
33,0.7002916830855721,,0.9359138624428422,0.17743624561385368,9.0,,,lightgbm,27.0,smote,7.0,0.7632889756994791,COMPLETE,0 days 00:00:15.219886
34,0.6999374497153911,,0.949294275155352,0.17540339736572583,8.0,,,lightgbm,27.0,smote,7.0,0.7403885808348619,COMPLETE,0 days 00:00:15.243479
35,0.6994075050857544,,0.9578852959113491,0.16952563997806347,8.0,,,lightgbm,30.0,smote,7.0,0.8469333456189301,COMPLETE,0 days 00:00:14.708813
36,0.7003796559968811,,0.8374947798057655,0.10950556223734575,9.0,,,lightgbm,30.0,smote,9.0,0.8558680981963258,COMPLETE,0 days 00:00:15.100542
37,0.6995939458624142,,0.8405458569834416,0.11182701500772006,9.0,,,lightgbm,30.0,smote,9.0,0.6149594800248341,COMPLETE,0 days 00:00:14.260568
38,0.6939299363787809,,,,9.0,5.0,9.0,random_forest,30.0,smote,10.0,,COMPLETE,0 days 00:00:15.393675
39,0.6874854119015333,,,,8.0,5.0,9.0,random_forest,29.0,under,,,COMPLETE,0 days 00:00:03.175421
40,0.6885860737470416,1.6436550768445108,,,,,,svm,,over,,,COMPLETE,0 days 00:00:12.300890
41,0.688497207425495,1.7768843149047873,,,,,,svm,,over,,,COMPLETE,0 days 00:00:13.261383
42,0.7019312562048544,,0.9279730760455054,0.19730975036646,9.0,,,lightgbm,27.0,smote,9.0,0.8574698766147049,COMPLETE,0 days 00:00:13.987755
43,0.6936165474806436,,0.9266166507907294,0.06798861152704154,9.0,,,lightgbm,26.0,smote,9.0,0.8470631782439333,COMPLETE,0 days 00:00:14.788908
44,0.7024949257881999,,0.9175746567345384,0.19455341720444103,9.0,,,lightgbm,27.0,smote,9.0,0.938077090190033,COMPLETE,0 days 00:00:14.260977
45,0.6986660675668682,,0.9775732975206861,0.19533785502285136,9.0,,,lightgbm,29.0,under,,0.9493705083513879,COMPLETE,0 days 00:00:01.629998
46,0.6992160017106585,,0.9224356530303095,0.15503121550331778,8.0,,,lightgbm,27.0,smote,9.0,0.7674121235782083,COMPLETE,0 days 00:00:14.751355
47,0.6976402899746699,,0.9213867270733618,0.12678365817098053,8.0,,,lightgbm,23.0,smote,9.0,0.9392461313557356,COMPLETE,0 days 00:00:13.979222
48,0.698376758390889,,0.8314154820555089,0.12637452340769673,8.0,,,lightgbm,23.0,smote,9.0,0.9351830936699845,COMPLETE,0 days 00:00:12.943878
49,0.6847333343555871,,,,9.0,3.0,6.0,random_forest,29.0,under,,,COMPLETE,0 days 00:00:04.633586
