number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.8977459388691482,,,,5.0,4.0,2.0,random_forest,30.0,,COMPLETE,0 days 00:00:26.321965
1,0.9168943072661415,1.478218280417841,,,,,,svm,,,COMPLETE,0 days 00:02:44.670152
2,0.9168159030623123,1.658986179997626,,,,,,svm,,,COMPLETE,0 days 00:02:34.295528
3,0.9192894681103668,,0.8180225372474424,0.14769731040562292,6.0,,,xgboost,21.0,0.7177381649035447,COMPLETE,0 days 00:00:33.880622
4,0.8582285174238592,,0.5299436761089678,0.04161204214940856,8.0,,,xgboost,8.0,0.7112921529661597,COMPLETE,0 days 00:00:28.590578
5,0.9110894730590746,,0.8705585920451443,0.08333589218041021,3.0,,,xgboost,30.0,0.5666808879685735,COMPLETE,0 days 00:00:27.204719
6,0.8918190338006945,,0.9815021374191313,0.19372112501921462,5.0,,,xgboost,6.0,0.8183536655906898,COMPLETE,0 days 00:00:25.895850
7,0.9166344406151407,2.224204628508259,,,,,,svm,,,COMPLETE,0 days 00:02:31.660890
8,0.9165686907524376,2.5196755157769557,,,,,,svm,,,COMPLETE,0 days 00:02:56.692652
9,0.9168616966358272,1.552920814090684,,,,,,svm,,,COMPLETE,0 days 00:02:14.400291
10,0.8785711612703246,,0.8506006872468116,0.024176698433796447,6.0,,,xgboost,23.0,0.8224005589354667,COMPLETE,0 days 00:00:32.017991
11,0.9100050900802926,,,,9.0,1.0,10.0,random_forest,16.0,,COMPLETE,0 days 00:00:26.911159
12,0.9272593904443288,,0.667697285210488,0.2882868587339932,7.0,,,lightgbm,18.0,0.9778218521781443,COMPLETE,0 days 00:00:27.020351
13,0.9267202673593236,,0.6677916143690342,0.2909878203663244,7.0,,,lightgbm,18.0,0.995386390171748,COMPLETE,0 days 00:00:26.223143
14,0.9271406880728083,,0.6357647716518932,0.29957853571055787,7.0,,,lightgbm,19.0,0.9735945852629893,COMPLETE,0 days 00:00:26.947942
15,0.9255552191892548,,0.6352709429536305,0.2957772737408764,7.0,,,lightgbm,15.0,0.9890816999579002,COMPLETE,0 days 00:00:26.742133
16,0.926385970648501,,0.6526649912662,0.29927586707733994,8.0,,,lightgbm,14.0,0.998594265651108,COMPLETE,0 days 00:00:25.456076
17,0.9239366587466832,,0.6715790606049412,0.2356397214333337,8.0,,,lightgbm,12.0,0.8898982963113985,COMPLETE,0 days 00:00:24.545502
18,0.9270323038798663,,0.5302925154164582,0.22008903721392292,7.0,,,lightgbm,25.0,0.8909336094645061,COMPLETE,0 days 00:00:26.974465
19,0.925115836085542,,0.530697445166193,0.23448989440165335,4.0,,,lightgbm,24.0,0.9024144054517638,COMPLETE,0 days 00:00:27.594670
20,0.9240553490661215,,0.7441120595825522,0.24965724734467287,4.0,,,lightgbm,20.0,0.8960795712627344,COMPLETE,0 days 00:00:25.592042
21,0.924921836015411,,0.730369974182713,0.13718405450961987,9.0,,,lightgbm,19.0,0.6088822973084049,COMPLETE,0 days 00:00:27.053186
22,0.9273379971072334,,0.5906866901214894,0.1853625388240304,7.0,,,lightgbm,26.0,0.9300145340244903,COMPLETE,0 days 00:00:28.419599
23,0.9277059933227133,,0.5816169054080462,0.1979152534745299,7.0,,,lightgbm,26.0,0.929662109844875,COMPLETE,0 days 00:00:28.493924
24,0.927511719686736,,0.5941396134978436,0.18413187271164427,7.0,,,lightgbm,27.0,0.939944794268377,COMPLETE,0 days 00:00:33.918717
25,0.9269960168490234,,0.5864150526596107,0.18274815539741127,6.0,,,lightgbm,26.0,0.9315038547601369,COMPLETE,0 days 00:00:32.966686
26,0.9067015960359557,,,,6.0,5.0,6.0,random_forest,27.0,,COMPLETE,0 days 00:00:26.642876
27,0.9128164690207975,,,,8.0,5.0,6.0,random_forest,27.0,,COMPLETE,0 days 00:00:29.557187
28,0.9278989199421345,,0.5931085268147644,0.179139748917303,8.0,,,lightgbm,28.0,0.8251535929955497,COMPLETE,0 days 00:00:29.034890
29,0.921482226002348,,0.5896556204242641,0.11484050341049151,5.0,,,lightgbm,22.0,0.8251098619391223,COMPLETE,0 days 00:00:27.386037
30,0.9265644825278105,,0.5860219237764518,0.12726924283917082,9.0,,,lightgbm,28.0,0.8221583999842754,COMPLETE,0 days 00:00:28.688349
31,0.9277432720000265,,0.5022597895101962,0.17185631957409278,9.0,,,lightgbm,29.0,0.7542703296074399,COMPLETE,0 days 00:00:28.813825
32,0.9280605952309676,,0.5946507766921705,0.1805668479315681,8.0,,,lightgbm,29.0,0.9453642073979959,COMPLETE,0 days 00:00:28.439344
33,0.9278391054676441,,0.5173896739186195,0.1656739931355864,8.0,,,lightgbm,29.0,0.659091257483063,COMPLETE,0 days 00:00:29.251515
34,0.9282501265206564,,0.5096903975136684,0.20622439576250312,9.0,,,lightgbm,29.0,0.7695696797164917,COMPLETE,0 days 00:00:29.433911
35,0.9277070459873084,,0.503288588574498,0.16838473257170614,9.0,,,lightgbm,29.0,0.6538928110516784,COMPLETE,0 days 00:00:28.842921
36,0.9128239930506924,,,,8.0,1.0,2.0,random_forest,30.0,,COMPLETE,0 days 00:00:30.271493
37,0.9148668082894286,,,,8.0,1.0,10.0,random_forest,30.0,,COMPLETE,0 days 00:00:31.420519
38,0.9285116452464005,,0.5554377528022224,0.21032114009377273,8.0,,,lightgbm,30.0,0.756613393397745,COMPLETE,0 days 00:00:29.525261
39,0.919222676336705,0.15614844262094896,,,,,,svm,,,COMPLETE,0 days 00:01:13.951545
40,0.9257471514850022,,0.5649122890643413,0.21293386445510154,9.0,,,xgboost,24.0,0.7574499598027857,COMPLETE,0 days 00:00:38.377216
41,0.9188283829522147,0.21983465509283984,,,,,,svm,,,COMPLETE,0 days 00:01:14.535059
42,0.9275284360665239,,0.545363101886214,0.15672027285610618,8.0,,,lightgbm,28.0,0.6761359378425974,COMPLETE,0 days 00:00:28.662531
43,0.9284283432880821,,0.5014278406902251,0.20870964480030257,8.0,,,lightgbm,29.0,0.774165807324932,COMPLETE,0 days 00:00:27.954957
44,0.9279836247900805,,0.5008408636484689,0.2574367146545796,8.0,,,lightgbm,29.0,0.7732276291777828,COMPLETE,0 days 00:00:28.265107
45,0.9290686292248607,,0.5504596117823423,0.21451694789597103,9.0,,,lightgbm,30.0,0.7854093833281478,COMPLETE,0 days 00:00:29.076790
46,0.9274644481347739,,0.5473243617781682,0.2667656563029268,9.0,,,xgboost,30.0,0.7772767005884901,COMPLETE,0 days 00:00:39.373332
47,0.9273938353317565,,0.5495734539482545,0.21176131190259126,9.0,,,xgboost,30.0,0.7869113495341841,COMPLETE,0 days 00:00:43.112508
48,0.9230829555003451,,0.6271646662681527,0.21110093073797329,9.0,,,lightgbm,11.0,0.7301384638161265,COMPLETE,0 days 00:00:26.418068
49,0.9282396241494816,,0.790424714485638,0.22633703171282277,9.0,,,lightgbm,25.0,0.7256404707104076,COMPLETE,0 days 00:00:24.567483
