number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_sampling_mode,params_smote_k,params_subsample,state,duration
0,0.6595681191017927,,,,3.0,2.0,6.0,random_forest,12.0,under,,,COMPLETE,0 days 00:00:02.502920
1,0.6824701662595126,,,,7.0,1.0,4.0,random_forest,11.0,under,,,COMPLETE,0 days 00:00:03.122295
2,0.698528312929925,2.736169325026184,,,,,,svm,,over,,,COMPLETE,0 days 00:00:38.480534
3,0.6980964964848783,,0.5502617680980326,0.10120516850141051,4.0,,,lightgbm,20.0,over,,0.6193322493939164,COMPLETE,0 days 00:00:04.259074
4,0.6993560554518706,1.3029676491377231,,,,,,svm,,over,,,COMPLETE,0 days 00:00:35.438637
5,0.6633040422849192,,,,6.0,1.0,9.0,random_forest,7.0,smote,5.0,,COMPLETE,0 days 00:00:22.874775
6,0.6981299190427587,2.631229749889584,,,,,,svm,,under,,,COMPLETE,0 days 00:00:17.930457
7,0.6995687424448621,1.1304494099749713,,,,,,svm,,over,,,COMPLETE,0 days 00:00:34.967841
8,0.6846048407246895,,0.796259422162519,0.18863277594732775,3.0,,,xgboost,8.0,over,,0.5834559866435406,COMPLETE,0 days 00:00:02.347167
9,0.6636576842608687,,0.6976375813557434,0.07567985514920807,3.0,,,xgboost,6.0,over,,0.9800219514759704,COMPLETE,0 days 00:00:02.784939
10,0.7025795398692863,0.2810397311366175,,,,,,svm,,over,,,COMPLETE,0 days 00:00:27.188866
11,0.7041368067100451,,0.9888289146382306,0.2872718655150659,9.0,,,lightgbm,30.0,smote,10.0,0.8964818301457941,COMPLETE,0 days 00:00:26.748004
12,0.7004579937515292,0.25418048042974717,,,,,,svm,,smote,10.0,,COMPLETE,0 days 00:00:44.238663
13,0.7050122679199297,,0.9943699019937802,0.29981043979991867,9.0,,,lightgbm,30.0,smote,10.0,0.9249055026110291,COMPLETE,0 days 00:00:24.143889
14,0.7043669407277511,,0.9918915953454035,0.2970301069621886,9.0,,,lightgbm,29.0,smote,10.0,0.9148797511999539,COMPLETE,0 days 00:00:27.129702
15,0.706662781276124,,0.9852123855177003,0.2950683677342601,9.0,,,lightgbm,30.0,smote,10.0,0.9253727344161679,COMPLETE,0 days 00:00:26.199736
16,0.7064538991921602,,0.977430049847918,0.2944951095503592,9.0,,,lightgbm,30.0,smote,8.0,0.8296643385233161,COMPLETE,0 days 00:00:25.003842
17,0.7082143166786503,,0.8702150111399796,0.22119507639498173,8.0,,,lightgbm,24.0,smote,7.0,0.782885141201499,COMPLETE,0 days 00:00:24.409173
18,0.7097374076841362,,0.8479480552181481,0.21068156921957915,7.0,,,lightgbm,24.0,smote,7.0,0.7612559349491669,COMPLETE,0 days 00:00:25.227350
19,0.7084431490420569,,0.84557314631641,0.19200019770018653,7.0,,,lightgbm,23.0,smote,3.0,0.7338237828553648,COMPLETE,0 days 00:00:24.692061
20,0.7077804193686337,,0.8327795177480319,0.19924353675541986,7.0,,,lightgbm,21.0,smote,7.0,0.7154752074869737,COMPLETE,0 days 00:00:23.375954
21,0.7081825515091223,,0.8387614507853179,0.15431021364845837,6.0,,,lightgbm,23.0,smote,3.0,0.6903301735789257,COMPLETE,0 days 00:00:24.227569
22,0.7080439764985068,,0.8794007696896978,0.21692201721929427,7.0,,,lightgbm,24.0,smote,3.0,0.7211126788618192,COMPLETE,0 days 00:00:25.463467
23,0.7074141519343643,,0.8881289025725037,0.2258463293393093,7.0,,,lightgbm,25.0,smote,6.0,0.7872579323299014,COMPLETE,0 days 00:00:23.709519
24,0.7076683199962058,,0.7251501091489281,0.23031959708664265,8.0,,,lightgbm,25.0,smote,6.0,0.7919352053506038,COMPLETE,0 days 00:00:23.604010
25,0.6996583360004224,,0.7237581957869521,0.14235090995880956,8.0,,,xgboost,17.0,smote,8.0,0.8040856817881937,COMPLETE,0 days 00:00:26.269137
26,0.691554017113296,,0.9074822416421293,0.15510786972157797,5.0,,,xgboost,18.0,smote,8.0,0.6429729769868492,COMPLETE,0 days 00:00:26.652055
27,0.7064855512917303,,0.9042093639073105,0.2444604173712239,5.0,,,lightgbm,18.0,under,,0.6479962151138507,COMPLETE,0 days 00:00:02.646514
28,0.7095350532204007,,0.7867860544615752,0.16795926498482533,8.0,,,lightgbm,27.0,smote,5.0,0.8516829741786888,COMPLETE,0 days 00:00:23.518521
29,0.6860369280539776,,0.7805998320261754,0.020162591238410743,8.0,,,lightgbm,27.0,smote,5.0,0.8454533328229807,COMPLETE,0 days 00:00:25.531501
30,0.696586627335996,,,,8.0,5.0,2.0,random_forest,27.0,under,,,COMPLETE,0 days 00:00:06.211233
31,0.708977118258685,,0.647994223339154,0.17750496743158517,6.0,,,lightgbm,27.0,smote,4.0,0.8543670719552435,COMPLETE,0 days 00:00:23.273287
32,0.7074115419205372,,0.8156961975273193,0.17284815681512294,7.0,,,lightgbm,22.0,smote,4.0,0.7528468672878235,COMPLETE,0 days 00:00:22.781282
33,0.7080380043645422,,0.6429818207443372,0.17747384235702893,6.0,,,lightgbm,27.0,smote,4.0,0.867564064928608,COMPLETE,0 days 00:00:25.273793
34,0.6886349821538741,,,,6.0,5.0,10.0,random_forest,27.0,smote,4.0,,COMPLETE,0 days 00:00:25.208487
35,0.687873630035166,,,,6.0,5.0,10.0,random_forest,27.0,under,,,COMPLETE,0 days 00:00:03.522062
36,0.6987675794300542,,0.6558159456522854,0.12600219258544126,5.0,,,lightgbm,20.0,smote,4.0,0.5265263759339952,COMPLETE,0 days 00:00:23.127433
37,0.6954064747009188,,0.657318958928562,0.12446324484246546,5.0,,,lightgbm,15.0,smote,5.0,0.7517541524604007,COMPLETE,0 days 00:00:22.663810
38,0.7063346808597494,,0.5812342700515701,0.25873508533834744,7.0,,,lightgbm,15.0,smote,5.0,0.749556245911579,COMPLETE,0 days 00:00:23.256798
39,0.7076929009511606,,0.5794457047050672,0.2503108038975336,7.0,,,lightgbm,25.0,under,,0.8643459942125763,COMPLETE,0 days 00:00:03.094350
40,0.7093272494732625,,0.7633557451560925,0.19482023892337036,7.0,,,lightgbm,22.0,smote,3.0,0.6969508479216234,COMPLETE,0 days 00:00:24.942531
41,0.6939086561121868,,,,8.0,3.0,6.0,random_forest,22.0,over,,,COMPLETE,0 days 00:00:04.787918
42,0.7090382187326153,,0.7644533584449519,0.20378719501221948,8.0,,,lightgbm,24.0,smote,3.0,0.8104227284442107,COMPLETE,0 days 00:00:24.861713
43,0.7095725114522612,,0.7680176885376876,0.20651115441047313,7.0,,,lightgbm,23.0,smote,3.0,0.7072105834598179,COMPLETE,0 days 00:00:24.830508
44,0.7072861359647544,,0.7602066128763354,0.2029475166569323,8.0,,,lightgbm,20.0,smote,3.0,0.8133111522950729,COMPLETE,0 days 00:00:23.638897
45,0.6964196594830349,2.0498859491240378,,,,,,svm,,smote,3.0,,COMPLETE,0 days 00:01:06.781322
46,0.7061072667707746,,0.7599563918012674,0.20504701800556197,8.0,,,xgboost,21.0,smote,3.0,0.6814233262277966,COMPLETE,0 days 00:00:26.505826
47,0.6987370306357127,2.170854494638569,,,,,,svm,,over,,,COMPLETE,0 days 00:00:37.807713
48,0.70029635714248,,0.7941367028079684,0.1631772972158863,7.0,,,lightgbm,10.0,over,,0.688164671422537,COMPLETE,0 days 00:00:02.694324
