number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.6476263692173615,2.893131332545233,,,,,,svm,,,COMPLETE,0 days 00:00:04.305830
1,0.6476276980185617,1.7450803635615961,,,,,,svm,,,COMPLETE,0 days 00:00:04.094654
2,0.6400097170306625,,,,8.0,3.0,2.0,random_forest,8.0,,COMPLETE,0 days 00:00:02.288386
3,0.651334948630139,,0.574622437709447,0.13592239927077382,4.0,,,xgboost,24.0,0.8204978004615657,COMPLETE,0 days 00:00:03.358261
4,0.645757835616262,,0.5017547233513315,0.22120531206035787,4.0,,,xgboost,6.0,0.5708233072625964,COMPLETE,0 days 00:00:03.345520
5,0.6413974461385413,,,,5.0,5.0,3.0,random_forest,24.0,,COMPLETE,0 days 00:00:04.027435
6,0.6476272815331212,1.8637523284553719,,,,,,svm,,,COMPLETE,0 days 00:00:04.225601
7,0.6289004561121968,,,,4.0,2.0,8.0,random_forest,6.0,,COMPLETE,0 days 00:00:02.141621
8,0.6424273195575948,,,,6.0,3.0,7.0,random_forest,21.0,,COMPLETE,0 days 00:00:02.700153
9,0.651554848990244,,0.7464912706164275,0.23255071182181727,7.0,,,lightgbm,21.0,0.8764861193236293,COMPLETE,0 days 00:00:03.089342
10,0.6483815699381026,,0.7544846016633917,0.02854505454142897,9.0,,,lightgbm,25.0,0.9952470574169257,COMPLETE,0 days 00:00:03.565305
11,0.6489414668295925,,0.8985982263945065,0.2943383351502341,9.0,,,lightgbm,15.0,0.9995254928988446,COMPLETE,0 days 00:00:02.931412
12,0.6530483708078613,,0.6236048451000302,0.0900071898246382,7.0,,,lightgbm,30.0,0.8396210001553273,COMPLETE,0 days 00:00:04.680735
13,0.6522314032304578,,0.5434067383390969,0.13259716847967803,7.0,,,xgboost,30.0,0.7925372574524928,COMPLETE,0 days 00:00:06.107859
14,0.6527127543130016,,0.6815101972314738,0.09978686083518204,7.0,,,lightgbm,28.0,0.8082925187905431,COMPLETE,0 days 00:00:03.484019
15,0.6522357978923282,,0.6312955266723331,0.08893796360566439,7.0,,,xgboost,30.0,0.6840407842710965,COMPLETE,0 days 00:00:05.461190
16,0.6519952894659236,,0.6823697067817515,0.055746608338925654,7.0,,,lightgbm,30.0,0.6667924730667463,COMPLETE,0 days 00:00:03.605391
17,0.6482590976293531,,0.6950585844947141,0.06068408774440602,6.0,,,lightgbm,14.0,0.7008190805301928,COMPLETE,0 days 00:00:03.561585
18,0.6489448507680048,,0.8414300817819148,0.08815567398797186,6.0,,,lightgbm,13.0,0.8863629975781415,COMPLETE,0 days 00:00:04.112618
19,0.6515228272043029,,0.8380749525307845,0.08741584900545189,8.0,,,lightgbm,27.0,0.8892749249838022,COMPLETE,0 days 00:00:03.744620
20,0.6522496908150335,,0.6152179039529867,0.17566596427783998,8.0,,,lightgbm,27.0,0.8942430334858168,COMPLETE,0 days 00:00:03.348320
21,0.6500787766639862,,0.9821121584438368,0.18312818393932143,3.0,,,lightgbm,20.0,0.7762979181338464,COMPLETE,0 days 00:00:02.855876
22,0.65132542305663,,0.6161009779495067,0.18109937786490388,8.0,,,lightgbm,27.0,0.8139528844310359,COMPLETE,0 days 00:00:03.421832
