number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9047729396584829,,0.7148734570442585,0.2506419775767486,8.0,,,xgboost,6.0,0.715088527323569,COMPLETE,0 days 00:00:13.587337
1,0.9032845323061194,0.4707530853918088,,,,,,svm,,,COMPLETE,0 days 00:00:30.943674
2,0.9019808231715519,,,,9.0,3.0,10.0,random_forest,18.0,,COMPLETE,0 days 00:00:13.809214
3,0.8912604174429247,,,,5.0,3.0,5.0,random_forest,21.0,,COMPLETE,0 days 00:00:12.481840
4,0.9018396891271688,2.999459072873406,,,,,,svm,,,COMPLETE,0 days 00:00:44.757027
5,0.9087296896823833,,0.9548109500455793,0.24915091014289373,9.0,,,lightgbm,18.0,0.7619497392287444,COMPLETE,0 days 00:00:12.733036
6,0.9072485268634881,,0.7103240240804367,0.18130234997457267,5.0,,,xgboost,21.0,0.7986999171639786,COMPLETE,0 days 00:00:15.035450
7,0.8882241771778777,,,,8.0,5.0,2.0,random_forest,7.0,,COMPLETE,0 days 00:00:11.422728
8,0.9031376872324522,0.5450540168939941,,,,,,svm,,,COMPLETE,0 days 00:00:31.168081
9,0.9086021364024335,,0.5802334334463511,0.26577540930874927,4.0,,,lightgbm,29.0,0.7448713740545279,COMPLETE,0 days 00:00:13.769853
10,0.9036023685689272,0.346268859730307,,,,,,svm,,,COMPLETE,0 days 00:00:27.964622
11,0.905897527300064,,0.9333668859420714,0.023625903978487267,7.0,,,lightgbm,13.0,0.982663738437987,COMPLETE,0 days 00:00:12.763028
12,0.9090144657421227,,0.5008447751172775,0.2957322032410927,3.0,,,lightgbm,30.0,0.5578860346475235,COMPLETE,0 days 00:00:13.401248
13,0.9088307926453206,,0.5220314927085127,0.2987946278856326,3.0,,,lightgbm,30.0,0.5327294078855185,COMPLETE,0 days 00:00:13.526641
14,0.9093310316586055,,0.9799979536949365,0.27984354392026956,3.0,,,lightgbm,30.0,0.5206555627113738,COMPLETE,0 days 00:00:12.516066
15,0.909239705679496,,0.5023011530392897,0.2980528265436101,3.0,,,lightgbm,30.0,0.5025508315351112,COMPLETE,0 days 00:00:13.276392
16,0.90854971139367,,0.8366670715680963,0.17080149384793464,3.0,,,lightgbm,26.0,0.5170013106793662,COMPLETE,0 days 00:00:11.883333
