number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.9025195178925481,,0.877840139645366,0.03926285502169753,8.0,,,xgboost,26.0,0.943668062803493,COMPLETE,0 days 00:00:19.267368
1,0.9086223651014671,,0.953310072438923,0.21636357040456045,4.0,,,xgboost,12.0,0.7436389087156526,COMPLETE,0 days 00:00:09.254854
2,0.889059937411624,,0.6921567262090393,0.08639156178791114,7.0,,,xgboost,8.0,0.5529071177690668,PRUNED,0 days 00:00:05.010956
3,0.9125476957843723,,0.5536836807025856,0.26121777230222976,3.0,,,xgboost,16.0,0.6775581119070822,COMPLETE,0 days 00:00:07.776549
4,0.899725799119443,,,,5.0,4.0,7.0,random_forest,19.0,,PRUNED,0 days 00:00:05.871219
5,0.9174602806969419,,0.5641648284134049,0.292524349822957,7.0,,,lightgbm,6.0,0.6529874434386799,COMPLETE,0 days 00:00:06.276617
6,0.8709812160892799,,0.8592821364074732,0.19580132797256034,4.0,,,xgboost,6.0,0.6980225483033746,COMPLETE,0 days 00:00:06.381243
7,0.9064472368939889,1.1120744162864475,,,,,,svm,,,PRUNED,0 days 00:00:23.749601
8,0.9148458554037728,,0.9674322731638563,0.14620921839426929,3.0,,,lightgbm,19.0,0.5088525535567436,PRUNED,0 days 00:00:06.259363
9,0.8965372014054758,,0.9063523859021807,0.061181752214406936,4.0,,,xgboost,25.0,0.7838520184374655,PRUNED,0 days 00:00:06.176566
10,0.9117047420992221,,,,9.0,3.0,10.0,random_forest,25.0,,PRUNED,0 days 00:00:07.378644
11,0.9205715837232811,,0.541781279736942,0.29262347257634885,7.0,,,lightgbm,11.0,0.877143114109764,COMPLETE,0 days 00:00:07.215366
12,0.9210091496843015,,0.5092991615347753,0.2760216444196662,6.0,,,lightgbm,13.0,0.6467531397070413,COMPLETE,0 days 00:00:07.021295
13,0.9162889105302683,,0.5253871972563533,0.2961135255731478,7.0,,,lightgbm,11.0,0.9091971877376133,PRUNED,0 days 00:00:04.326613
14,0.9170103596068888,,0.5133764187774836,0.2974753371561119,6.0,,,lightgbm,13.0,0.8847253703538974,PRUNED,0 days 00:00:04.836324
15,0.9209966753489288,,0.6552075060605141,0.23228213222102156,6.0,,,lightgbm,14.0,0.8420683940173406,COMPLETE,0 days 00:00:08.258540
16,0.9172909492988948,,0.6517038344021006,0.2214985481416521,6.0,,,lightgbm,15.0,0.8433614257410256,PRUNED,0 days 00:00:06.097640
17,0.9084252992839593,2.9632390915501365,,,,,,svm,,,COMPLETE,0 days 00:00:45.566168
18,0.9055915756849685,2.9809921485012962,,,,,,svm,,,PRUNED,0 days 00:00:33.335475
19,0.9215270774647927,,0.7767409028779511,0.1617912348030019,5.0,,,lightgbm,21.0,0.60203593418507,COMPLETE,0 days 00:00:09.056315
20,0.9203775724830597,,0.8055294391376367,0.14347674831351995,5.0,,,lightgbm,22.0,0.5968283249818394,COMPLETE,0 days 00:00:07.449054
21,0.9199892410531525,,0.7846572071077846,0.14125442396892207,5.0,,,lightgbm,30.0,0.5979833593625965,PRUNED,0 days 00:00:04.981813
22,0.921593150402496,,0.7746540899159012,0.1779049759190311,6.0,,,lightgbm,21.0,0.6125584156606928,COMPLETE,0 days 00:00:08.968780
23,0.9184210782430047,,0.6329787941040115,0.24562354306959072,6.0,,,lightgbm,17.0,0.9867782219988317,PRUNED,0 days 00:00:05.533499
24,0.9201404847836405,,0.7241869230408835,0.18000859214924658,6.0,,,lightgbm,21.0,0.7999240102252788,PRUNED,0 days 00:00:05.820602
25,0.9033663228324507,,,,5.0,1.0,2.0,random_forest,21.0,,PRUNED,0 days 00:00:03.953079
26,0.903941315862838,,,,5.0,1.0,2.0,random_forest,22.0,,PRUNED,0 days 00:00:04.399681
27,0.9177611626820575,,0.785515020895234,0.10770364715298823,8.0,,,lightgbm,23.0,0.5897540035760442,PRUNED,0 days 00:00:04.814509
28,0.9196619518180015,,0.7902491028343258,0.11038129726700338,8.0,,,lightgbm,28.0,0.6090893462640928,PRUNED,0 days 00:00:07.089310
29,0.9176917020170434,,0.7471623642618878,0.18396219493353996,4.0,,,lightgbm,18.0,0.6326173430279395,PRUNED,0 days 00:00:06.279958
30,0.916375716739879,,0.7268865888068028,0.17651049796867743,4.0,,,lightgbm,19.0,0.5008271630772446,PRUNED,0 days 00:00:04.468426
31,0.9108109363894143,0.10653477661468336,,,,,,svm,,,PRUNED,0 days 00:00:12.320021
32,0.9179499230203161,,0.599255921465528,0.2444371007618402,6.0,,,lightgbm,14.0,0.7207195139433642,PRUNED,0 days 00:00:04.790076
33,0.9151246399033547,,0.6923867900332472,0.26001224944968415,6.0,,,lightgbm,9.0,0.5649677843264423,PRUNED,0 days 00:00:06.113264
34,0.9183405047718821,,0.6803954709609795,0.22382115100316002,6.0,,,lightgbm,10.0,0.5466247472566192,COMPLETE,0 days 00:00:07.318893
