number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.6459614891012398,,,,6.0,3.0,7.0,random_forest,17.0,,COMPLETE,0 days 00:00:03.261118
1,0.6435631144767694,,0.8915607576606281,0.043315971462970344,3.0,,,lightgbm,30.0,0.9928119421998614,COMPLETE,0 days 00:00:03.697057
2,0.6506119985381478,0.15777838271966718,,,,,,svm,,,COMPLETE,0 days 00:00:03.987048
3,0.6505971449090614,0.35717340261932506,,,,,,svm,,,COMPLETE,0 days 00:00:04.066629
4,0.6505981263700653,0.31219660919292436,,,,,,svm,,,COMPLETE,0 days 00:00:03.812780
5,0.6365936721399259,,,,3.0,2.0,4.0,random_forest,29.0,,COMPLETE,0 days 00:00:02.727236
6,0.6436501694404712,,,,6.0,4.0,7.0,random_forest,10.0,,COMPLETE,0 days 00:00:03.432595
7,0.6474401013062846,,,,6.0,1.0,3.0,random_forest,28.0,,COMPLETE,0 days 00:00:04.015323
8,0.62872640906146,,,,4.0,5.0,7.0,random_forest,6.0,,COMPLETE,0 days 00:00:02.093829
9,0.650738606310442,,0.7021234374641305,0.21044742508411032,8.0,,,xgboost,11.0,0.6534298236976352,COMPLETE,0 days 00:00:04.958590
10,0.6505861804109276,2.3631166287915852,,,,,,svm,,,COMPLETE,0 days 00:00:04.721523
11,0.6416230276540097,,0.5471819610195425,0.27819293209449625,9.0,,,xgboost,15.0,0.53188693206194,COMPLETE,0 days 00:00:06.321267
12,0.6418483085095529,,0.5909592062002441,0.27521729537065015,9.0,,,xgboost,14.0,0.5556996806954903,COMPLETE,0 days 00:00:06.148033
13,0.6470091760819654,,0.671414955110426,0.21754524759108695,9.0,,,xgboost,21.0,0.6560180221982951,COMPLETE,0 days 00:00:06.408737
14,0.6510884682001435,,0.7701037544787471,0.14610897802260495,8.0,,,xgboost,21.0,0.7529670177661516,COMPLETE,0 days 00:00:05.676266
15,0.6506506176708169,,0.7604536172922647,0.15370656568433355,8.0,,,xgboost,21.0,0.7525952276390401,COMPLETE,0 days 00:00:06.482305
16,0.6519735986265854,,0.8098033389023684,0.13401976715916786,8.0,,,xgboost,22.0,0.8001966787457899,COMPLETE,0 days 00:00:07.006486
17,0.654185273976111,,0.8011778999744811,0.13855991453772343,7.0,,,xgboost,23.0,0.7873632087038346,COMPLETE,0 days 00:00:05.099380
18,0.6532749020811526,,0.8608733615091904,0.09810013501939677,7.0,,,lightgbm,23.0,0.8427831684915036,COMPLETE,0 days 00:00:03.361827
19,0.6525146109712806,,0.9275314264739556,0.07495518984762235,7.0,,,lightgbm,25.0,0.8674080522808867,COMPLETE,0 days 00:00:03.628240
20,0.6520049677908978,,0.9931540544387565,0.0649274488592117,7.0,,,lightgbm,25.0,0.8942674266367865,COMPLETE,0 days 00:00:03.689069
21,0.6539552947912624,,0.9952445912044566,0.09587121819482741,5.0,,,lightgbm,24.0,0.8919806153802985,COMPLETE,0 days 00:00:04.056962
22,0.6537855531553598,,0.8923920829116608,0.09121659618353513,7.0,,,lightgbm,26.0,0.8732326551101863,COMPLETE,0 days 00:00:04.802941
23,0.6548492410244298,,0.8660023913201221,0.10069536607548919,5.0,,,lightgbm,25.0,0.8802215485849475,COMPLETE,0 days 00:00:03.648358
24,0.6547182487082233,,0.9876097479488274,0.10858138084029696,5.0,,,lightgbm,25.0,0.9568170539969985,COMPLETE,0 days 00:00:03.456047
25,0.6531559059381085,,0.9993925887429981,0.11665284659820106,5.0,,,lightgbm,18.0,0.9488163780886869,COMPLETE,0 days 00:00:02.960867
26,0.6466204950247721,,0.8045927966994826,0.014165988268685911,5.0,,,lightgbm,19.0,0.9739050031912919,COMPLETE,0 days 00:00:03.007625
27,0.6547842152969823,,0.8241780444977032,0.1923579258043566,5.0,,,lightgbm,27.0,0.9425755360554912,COMPLETE,0 days 00:00:03.383666
28,0.6555869905951345,,0.9383554893931183,0.19365413909731466,4.0,,,lightgbm,27.0,0.7971290762758484,COMPLETE,0 days 00:00:03.755214
