number,value,params_C,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_model_name,params_n_estimators,params_subsample,state,duration
0,0.6875660727219005,,,,8.0,4.0,6.0,random_forest,23.0,,COMPLETE,0 days 00:00:23.379373
1,0.7097086241268736,,0.70982990308188,0.09591437801912236,7.0,,,xgboost,30.0,0.944523813747314,COMPLETE,0 days 00:00:39.048750
2,0.7118232214104004,,0.6026578917311081,0.25919504969235946,8.0,,,xgboost,17.0,0.9344701214226495,COMPLETE,0 days 00:00:33.313881
3,0.7121211119066714,,0.9064188150058535,0.24113635446706053,9.0,,,lightgbm,19.0,0.6095277064411423,COMPLETE,0 days 00:00:25.433481
4,0.6870705810828904,,0.591320122156573,0.2167536422661012,4.0,,,xgboost,7.0,0.72161574501395,COMPLETE,0 days 00:00:28.996485
5,0.6763552201965769,,,,4.0,4.0,9.0,random_forest,30.0,,COMPLETE,0 days 00:00:29.387021
6,0.6860772875425115,,0.7870966690951016,0.2063581979770438,3.0,,,lightgbm,8.0,0.9865444942470668,COMPLETE,0 days 00:00:23.099753
7,0.7069976008368969,,0.5303579690759122,0.08034136213013707,8.0,,,lightgbm,18.0,0.8529154906415455,COMPLETE,0 days 00:00:24.490889
8,0.6857546860483588,,,,8.0,3.0,6.0,random_forest,19.0,,COMPLETE,0 days 00:00:22.926010
9,0.6971656268383871,0.844605202715562,,,,,,svm,,,COMPLETE,0 days 00:01:29.990563
10,0.6953431090539669,,0.9648898678296149,0.06694672021238776,6.0,,,xgboost,16.0,0.7092884593312428,COMPLETE,0 days 00:00:30.045928
11,0.697312004232901,0.7753417395458556,,,,,,svm,,,COMPLETE,0 days 00:01:34.507370
12,0.711538915372606,,0.966616227859076,0.29875313912957024,9.0,,,lightgbm,13.0,0.5669617647820991,COMPLETE,0 days 00:00:23.893910
13,0.6956442140238958,2.989187795834364,,,,,,svm,,,COMPLETE,0 days 00:01:48.816449
14,0.7114779157584795,,0.8037981104695934,0.2973151802643074,9.0,,,lightgbm,22.0,0.5373127951954888,COMPLETE,0 days 00:00:25.077299
15,0.70622266504822,,0.8697253160078265,0.21831108354854337,6.0,,,xgboost,13.0,0.6206620673715323,COMPLETE,0 days 00:00:26.908418
16,0.7138499231890538,,0.6520877282428965,0.15469777443966964,7.0,,,lightgbm,24.0,0.8488964736070641,COMPLETE,0 days 00:00:25.085008
17,0.7136665758556205,,0.6762635379379958,0.1484074962519747,7.0,,,lightgbm,25.0,0.8291178776114565,COMPLETE,0 days 00:00:24.938727
18,0.7130886392109002,,0.6931070606618924,0.14498214808200513,7.0,,,lightgbm,25.0,0.8084247589452647,COMPLETE,0 days 00:00:25.033669
19,0.7116122948530714,,0.6779939993965931,0.15077926387466548,5.0,,,lightgbm,25.0,0.8361988241173194,COMPLETE,0 days 00:00:23.752483
20,0.7119526957061438,,0.647094140442406,0.14672740734883338,5.0,,,lightgbm,26.0,0.8358144695375735,COMPLETE,0 days 00:00:24.535592
21,0.7139084204021072,,0.6179273666338072,0.12087044489446044,7.0,,,lightgbm,27.0,0.7910576289758048,COMPLETE,0 days 00:00:25.017801
22,0.7132317884562328,,0.7131376899937463,0.12105213245680485,7.0,,,lightgbm,27.0,0.7717054412273456,COMPLETE,0 days 00:00:25.278493
23,0.6965044243020454,,0.5932028159822447,0.01161368026102344,7.0,,,lightgbm,28.0,0.7748248404857137,COMPLETE,0 days 00:00:26.170580
24,0.7136431697421405,,0.5884662365838254,0.18771782503682227,7.0,,,lightgbm,22.0,0.8985008626252503,COMPLETE,0 days 00:00:25.088811
25,0.7142260058235119,,0.5069365490372981,0.18053916349943805,6.0,,,lightgbm,22.0,0.886083285337808,COMPLETE,0 days 00:00:24.529931
26,0.711822380521721,,0.501512111088908,0.1089464639748188,6.0,,,lightgbm,24.0,0.6760064121894559,COMPLETE,0 days 00:00:24.693183
27,0.713286550273707,,0.5023262916537605,0.18798032088915836,6.0,,,lightgbm,21.0,0.8901522249061766,COMPLETE,0 days 00:00:23.667660
28,0.7107543195637941,,0.5538960896119502,0.17801794803647478,5.0,,,lightgbm,21.0,0.8995031303111927,COMPLETE,0 days 00:00:24.272399
29,0.6956787964208874,2.859190056799586,,,,,,svm,,,COMPLETE,0 days 00:02:00.854550
30,0.681806238844502,,,,5.0,1.0,2.0,random_forest,28.0,,COMPLETE,0 days 00:00:21.447370
31,0.6957910285844521,2.494348478632996,,,,,,svm,,,COMPLETE,0 days 00:01:58.745325
32,0.7125574989166911,,0.6317845620144873,0.12355976439682315,7.0,,,lightgbm,24.0,0.8204181607351421,COMPLETE,0 days 00:00:24.995874
33,0.713570561181531,,0.6585189773895259,0.16581715104071865,6.0,,,lightgbm,27.0,0.7788642350964222,COMPLETE,0 days 00:00:24.226963
34,0.7142982707920297,,0.6459759369989504,0.17087869283912957,6.0,,,lightgbm,27.0,0.866634516057421,COMPLETE,0 days 00:00:23.251586
35,0.7108532388660707,,0.7751859444994098,0.13326260749554952,8.0,,,lightgbm,20.0,0.8712611739168871,COMPLETE,0 days 00:00:25.008121
36,0.6871956538465724,,,,6.0,1.0,10.0,random_forest,29.0,,COMPLETE,0 days 00:00:22.794146
37,0.7036079233292513,,0.7494136082904512,0.05568958511081608,8.0,,,lightgbm,23.0,0.8708456990765878,COMPLETE,0 days 00:00:24.774806
38,0.7111310767288467,,0.5581670082150965,0.16924144905341426,6.0,,,xgboost,23.0,0.9366270306385742,COMPLETE,0 days 00:00:27.827103
39,0.7120427592961381,,0.5567576815576082,0.1692689271841864,6.0,,,xgboost,27.0,0.9338320434468376,COMPLETE,0 days 00:00:29.988589
40,0.7152659301611172,,0.625078273280331,0.1935118260054225,7.0,,,lightgbm,30.0,0.9820220840366966,COMPLETE,0 days 00:00:25.790793
41,0.6820834861705113,,,,5.0,5.0,2.0,random_forest,30.0,,COMPLETE,0 days 00:00:22.779885
42,0.7145331126003304,,0.6315992347415181,0.19867277408530074,7.0,,,lightgbm,30.0,0.9966132374621893,COMPLETE,0 days 00:00:25.049844
43,0.7150228140883493,,0.7225702030105678,0.1999563990758574,7.0,,,lightgbm,29.0,0.9771946581970549,COMPLETE,0 days 00:00:24.462589
44,0.7145399299112283,,0.6306376988024972,0.20070122561540973,7.0,,,lightgbm,29.0,0.999973003041985,COMPLETE,0 days 00:00:25.163952
45,0.7151217958548695,,0.7231941756394938,0.20185227065082934,8.0,,,lightgbm,30.0,0.9995274239180794,COMPLETE,0 days 00:00:25.058207
46,0.715311215830206,,0.7155599948479984,0.24670145889918432,8.0,,,lightgbm,30.0,0.98364891724794,COMPLETE,0 days 00:00:25.121325
47,0.7139002821347091,,0.7454079210491172,0.24161070847031269,8.0,,,lightgbm,30.0,0.9998038861859256,COMPLETE,0 days 00:00:25.363845
48,0.7147970436426938,,0.7291065668494938,0.2484033626185851,8.0,,,lightgbm,29.0,0.9665155796036407,COMPLETE,0 days 00:00:24.657933
49,0.7146633216399332,,0.7228892469699827,0.2644755947537218,9.0,,,lightgbm,29.0,0.9639748800635142,COMPLETE,0 days 00:00:14.755792
